doc_id,context,question,ratings,hypo_answers
baseballsoftball,Baseball and softball are two related ball sports played between two teams on a diamond-shaped field.,What are baseball and softball?,5,Baseball and softball are both bat-and-ball sports played on a field with teams of nine players. The objective of the game is to score runs by hitting the ball and running around the bases to reach home plate.
baseballsoftball,"What's the difference between Baseball and Softball?

While there are world championships for both men and women in both sports, at the Olympic level baseball has been a men's-only sport while softball has been a women's-only sport. There are differences in the number of players on each team between the two sports, the size of the field, and in some rules.

Softball pitchers are also required to throw underhand, and most pitchers throw using the windmill pitch style, where the ball is thrown after rotating in a large circle. In softball, top female pitchers can reach speeds of over 100km/h. That speed fits with the fast-paced nature of the game. Since the bases aren’t as far apart, there is a shorter pitching distance. The game is also shorter in duration to baseball, with only seven innings compared to baseball’s nine.",What is the maximum number of players allowed on a baseball team versus a softball team?,4,"The maximum number of players allowed on a baseball team is typically 25 players, while the maximum number of players allowed on a softball team is usually 15 players."
baseballsoftball,"By whom, where and when was Baseball/Softball invented?

The earliest record of the game of ""baseball"" being played was in Surrey, England, in 1749. The sport made it to the United States by the 1770s, and the first organised professional league—the National Association of Professional Base Ball Players—was founded in 1875. Baseball is considered ""America's past-time"".

Softball was first imagined as “indoor baseball” in 1887 in Chicago, Illinois, by reporter George Hancock after watching someone hit a boxing glove with a broom handle. He went on to publish rules for the game and later took it outside, playing on fields too small for baseball. While the rules remained vague, interest in the game grew, and more than 100 area high school teams were formed by 1892.

In 1895, firefighters in Minneapolis, Minnesota, played a similar game named “kitten ball” using a ball of yarn wrapped in leather. In 1907, a guide for indoor baseball published by Albert Spalding allowed for game flexibility with two constants: a larger ball than baseball as well as underhand pitching. In 1926, Walter Hakanson proposed unifying the disparate versions of the game into one, under a single name: Softball.",Who invented Softball?,4,George Hancock is credited with inventing softball in Chicago on Thanksgiving Day in 1887.
baseballsoftball,"What are the rules of Baseball/Softball?

Two teams of nine players aim to score the most runs by striking a ball and running round a sequence of bases to reach the home plate.

The teams rotate between batting and fielding, with each session called an inning, and switch when the fielding team gets three opposition players out.

The pitcher throws the ball from a mound toward the catcher which the batter attempts to hit and get around the bases to the home plate.

Softball is similar but features 9 or 10 players per team, depending on the style being played. The basic rules are the same.",How many players are typically on each team in a game of softball?,5,There are typically 9 players on each team in a game of softball.
baseballsoftball,"How long is a Baseball/Softball game?

A baseball game lasts for nine innings, while softball lasts for seven innings. There are three outs per half-inning (teams rotate batting and fielding each half-inning). Tied games may be left as ties or be played until a winner is found, known as extra innings.

Baseball/Softball and the Olympics
Baseball featured several times on the Olympic programme as a demonstration sport before being included as a medal event at the Olympic Games Barcelona 1992.

Cuba won the gold medal on the sport’s competitive debut and three times in total before it was removed from the programme following the Olympic Games Beijing 2008.

Softball was introduced at the Olympic Games Atlanta 1996 as a women-only medal sport, with the United States winning the sport’s inaugural gold medal. They won the subsequent two titles and enjoyed a 22-game winning streak from September 2000 before they were beaten by Japan in the final in 2008.

Originally considered separate sports at the Olympics, baseball softball made its return as a combined sport with two distinct events (men's baseball and women's softball) at the Olympic Games Tokyo 2020, where hosts Japan won both gold medals.",How many innings are played in a softball game compared to a baseball game?,5,"In general, a softball game consists of 7 innings, while a baseball game consists of 9 innings."
baseballsoftball,"Best Baseball/Softball players to watch

Japan's Ohtani Shohei is one of the world's biggest baseball stars, as he is what is known as a ""two-way"" player—someone who both hits and pitches extremely well. In softball, Team USA's Ally Carda is one to watch.","Who are some of the best baseball and softball players to watch, according to the provided context?",5,"Some of the best baseball players to watch currently are players like Mike Trout, Mookie Betts, and Jacob deGrom. In softball, some of the best players to watch may include Rachel Garcia, Cat Osterman, and Monica Abbott."
lacrosse,"Lacrosse is a team sport where players try to shoot a solid rubber ball into the opposition goal using a stick with a net on its end.

Field lacrosse is a 10-a-side game played on a 100m x 55m pitch with a face-off starting proceedings and restarting the game after a goal. Extensive protective equipment is a must with sticks being wielded in mid-air in what is most definitely a contact sport.

But the version being contested at the Los Angeles 2028 Olympic Games is World Lacrosse Sixes which is played on a 70m x 36m pitch featuring goals 10m in from the end-lines.",What are the differences between Field Lacrosse and World Lacrosse Sixes in terms of field size and number of players?,5,Field Lacrosse is played on a rectangular field that is 110 yards by 60 yards with 10 players per team on the field at a time. World Lacrosse Sixes is played on a smaller field with dimensions of 30m x 20m with six players per team on the field at a time.
lacrosse,"By whom, where and when was Lacrosse invented?

Lacrosse is derived from a pastime of indigenous North American populations in the 12th century.

In aboriginal Canadian tradition, games were part of ritual and could last two or three days with teams comprising hundreds of men playing on a field several kilometres long.

Jesuit missionaries documented the sport of lacrosse in the 17th century with the Mohawk people reported as playing a game with a wooden ball and a stick with a hoop net in 1757.

Almost exactly 100 years later, dentist William George Beers founded the Montreal Lacrosse Club and codified the rules of the sport.",Who founded the Montreal Lacrosse Club and codified the rules of the sport of Lacrosse?,5,William George Beers founded the Montreal Lacrosse Club and codified the rules of the sport of Lacrosse.
lacrosse,"What are the rules of Lacrosse?

In World Lacrosse Sixes, five players plus a goalkeeper are drawn from a roster of 12 with games taking place over four eight-minute quarters.

The net at the end of the stick is used to carry, pass, catch and shoot with only goalkeepers allowed to touch the ball with their hands.

There is a shot clock of 30 seconds in which a team must make an attempt at goal or give up possession. A turnover also occurs if a team returns to its own half having moved into the attacking half.

Minor fouls result in a player being sent to the penalty box for 30 seconds with major fouls triggering a one-minute suspension.

At the end of the match, the team with most goals wins. In the event of a tie, there will be four-minute periods of sudden-death overtime until a goal is scored.",What is the shot clock time limit in World Lacrosse Sixes?,5,The shot clock time limit in World Lacrosse Sixes is 35 seconds.
lacrosse,"Lacrosse and the Olympics

Field lacrosse was played at previous Olympic Games but World Lacrosse Sixes is the propsed sport at Los Angeles 2028.

Men’s lacrosse was part of the St. Louis 1904 and London 1908 Olympic Games before making appearances as a demonstration sport at the Amsterdam 1928, Los Angeles 1932 and London 1948 Games.

Only three nations have previously contested Olympic lacrosse with Canada winning gold on both occasions.

Canada’s Winnipeg Shamrocks beat the United States to gold with the Mohawk Indians, also from Canada, taking bronze.

In 1908, Canada beat Great Britain in the only game in the competition to take a second gold.",Which nation has won gold in Olympic lacrosse on two separate occasions?,5,The United States.
